iter	Passed	Remaining
0	38	38851
1	76	38395
2	111	37163
3	146	36456
4	179	35650
5	213	35366
6	249	35432
7	284	35295
8	321	35379
9	357	35359
10	392	35326
11	428	35270
12	464	35293
13	504	35556
14	545	35838
15	583	35883
16	620	35884
17	657	35861
18	696	35963
19	734	35983
20	771	35945
21	807	35905
22	848	36047
23	884	35984
24	927	36162
25	971	36404
26	1024	36912
27	1061	36847
28	1098	36785
29	1135	36714
30	1173	36693
31	1211	36644
32	1248	36575
33	1285	36523
34	1321	36432
35	1359	36398
36	1401	36474
37	1444	36571
38	1483	36566
39	1521	36510
40	1557	36427
41	1594	36380
42	1634	36386
43	1676	36425
44	1716	36419
45	1755	36409
46	1793	36362
47	1834	36389
48	1877	36445
49	1915	36402
50	1961	36503
51	2002	36511
52	2044	36526
53	2087	36561
54	2127	36549
55	2168	36553
56	2209	36559
57	2256	36647
58	2295	36610
59	2339	36654
60	2379	36621
61	2424	36683
62	2462	36620
63	2505	36645
64	2541	36557
65	2588	36633
66	2633	36666
67	2684	36796
68	2739	36957
69	2782	36965
70	2836	37109
71	2885	37189
72	2928	37182
73	2972	37197
74	3011	37138
75	3051	37100
76	3098	37142
77	3144	37164
78	3186	37150
79	3230	37149
80	3274	37156
81	3324	37213
82	3374	37286
83	3419	37291
84	3462	37272
85	3510	37305
86	3559	37352
87	3605	37370
88	3658	37444
89	3717	37589
90	3762	37580
91	3808	37592
92	3858	37629
93	3907	37661
94	3958	37705
95	4010	37768
96	4058	37778
97	4105	37783
98	4156	37827
99	4209	37889
100	4272	38028
101	4327	38095
102	4388	38219
103	4442	38276
104	4493	38300
105	4546	38344
106	4597	38368
107	4649	38404
108	4701	38431
109	4744	38384
110	4787	38339
111	4837	38358
112	4883	38333
113	4927	38299
114	4975	38287
115	5022	38274
116	5065	38230
117	5100	38126
118	5137	38032
119	5177	37965
120	5218	37911
121	5258	37844
122	5300	37792
123	5339	37719
124	5381	37668
125	5417	37581
126	5460	37532
127	5505	37504
128	5545	37446
129	5585	37382
130	5624	37313
131	5670	37287
132	5706	37202
133	5751	37170
134	5800	37169
135	5851	37173
136	5897	37146
137	5948	37154
138	5991	37112
139	6037	37085
140	6083	37060
141	6126	37015
142	6167	36962
143	6210	36916
144	6255	36886
145	6300	36855
146	6342	36801
147	6388	36774
148	6431	36733
149	6469	36661
150	6508	36593
151	6545	36519
152	6588	36473
153	6626	36405
154	6668	36353
155	6710	36306
156	6751	36251
157	6791	36194
158	6835	36154
159	6886	36152
160	6935	36144
161	6980	36109
162	7026	36082
163	7073	36058
164	7119	36029
165	7166	36004
166	7213	35981
167	7256	35936
168	7295	35874
169	7331	35795
170	7366	35710
171	7404	35642
172	7439	35562
173	7476	35493
174	7517	35439
175	7563	35409
176	7607	35371
177	7648	35322
178	7688	35262
179	7731	35223
180	7777	35192
181	7819	35144
182	7865	35114
183	7908	35074
184	7949	35022
185	7993	34980
186	8035	34936
187	8078	34891
188	8118	34835
189	8162	34798
190	8203	34748
191	8245	34701
192	8284	34642
193	8332	34619
194	8377	34585
195	8415	34521
196	8452	34454
197	8489	34385
198	8523	34307
199	8561	34247
200	8598	34180
201	8638	34127
202	8674	34056
203	8710	33987
204	8747	33923
205	8785	33863
206	8827	33816
207	8867	33763
208	8907	33711
209	8943	33645
210	8982	33588
211	9019	33525
212	9059	33471
213	9096	33411
214	9136	33360
215	9174	33301
216	9211	33237
217	9249	33179
218	9286	33117
219	9325	33061
220	9362	33001
221	9399	32942
222	9436	32879
223	9473	32818
224	9511	32761
225	9555	32724
226	9594	32672
227	9637	32633
228	9678	32585
229	9719	32538
230	9763	32501
231	9807	32465
232	9852	32432
233	9893	32387
234	9932	32334
235	9973	32287
236	10015	32244
237	10055	32194
238	10091	32132
239	10129	32076
240	10165	32014
241	10204	31961
242	10241	31905
243	10278	31848
244	10316	31792
245	10355	31739
246	10397	31696
247	10433	31638
248	10474	31592
249	10512	31538
250	10549	31481
251	10590	31435
252	10628	31382
253	10667	31329
254	10703	31272
255	10742	31220
256	10783	31174
257	10826	31135
258	10870	31100
259	10908	31047
260	10949	31002
261	10989	30954
262	11028	30904
263	11071	30864
264	11111	30819
265	11155	30781
266	11195	30735
267	11237	30692
268	11276	30644
269	11320	30606
270	11361	30561
271	11399	30510
272	11437	30458
273	11474	30402
274	11517	30364
275	11554	30309
276	11588	30247
277	11624	30190
278	11661	30135
279	11695	30074
280	11730	30015
281	11767	29960
282	11803	29905
283	11844	29861
284	11884	29814
285	11927	29776
286	11970	29737
287	12011	29693
288	12051	29649
289	12104	29635
290	12148	29598
291	12188	29552
292	12232	29516
293	12272	29470
294	12314	29428
295	12354	29382
296	12400	29351
297	12443	29313
298	12488	29279
299	12534	29247
300	12573	29198
301	12614	29156
302	12653	29107
303	12693	29060
304	12735	29020
305	12778	28980
306	12822	28943
307	12867	28909
308	12914	28880
309	12957	28839
310	12997	28795
311	13034	28743
312	13076	28701
313	13112	28646
314	13148	28592
315	13182	28534
316	13218	28479
317	13254	28426
318	13290	28372
319	13331	28329
320	13372	28286
321	13418	28253
322	13463	28218
323	13504	28175
324	13551	28145
325	13598	28114
326	13639	28071
327	13682	28033
328	13722	27987
329	13765	27947
330	13809	27911
331	13853	27874
332	13896	27835
333	13932	27781
334	13970	27731
335	14007	27682
336	14045	27632
337	14082	27581
338	14123	27538
339	14160	27488
340	14194	27431
341	14233	27385
342	14270	27333
